datetime,open,high,low,close,volume
02/01/2022,38494.66,39281.06,38033.98,38721.49,32504.03
02/02/2022,38721.49,38883.19,36650.8,36918.19,29144.5
02/03/2022,36918.19,37411.52,36270.47,37328.64,27541.76
02/04/2022,37328.64,41737.83,37060.18,41590.34,50443.53
02/05/2022,41590.34,41954.24,40963.47,41418.21,22244.16
02/06/2022,41418.21,42671.81,41152.05,42412.41,14391.14
02/07/2022,42412.41,44518.11,41689.77,43861.07,42425.21
02/08/2022,43861.07,45483.65,42704.39,44080.12,44964.2
02/09/2022,44080.12,44849.9,43167.21,44422.91,27461.26
02/10/2022,44422.91,45837.02,43254.41,43531.67,45532.09
02/11/2022,43531.67,43950.88,42010.61,42398.98,39322.02
02/12/2022,42398.98,43041.72,41775.79,42239.01,17662.13
02/13/2022,42239.01,42773.35,41900.31,42069.84,12420.62
02/14/2022,42069.84,42857.15,41581.41,42552.28,27975.8
02/15/2022,42552.28,44771.91,42452.02,44576.33,27548.28
02/16/2022,44576.33,44583.03,43361.09,43896.34,20597.85
02/17/2022,43896.34,44187.88,40104.04,40545.09,39645.29
02/18/2022,40545.09,40980.65,39496.7,39994.66,32514.79
02/19/2022,39994.66,40464.62,39664.71,40107.12,11674.81
02/20/2022,40107.12,40142.98,38019.97,38397.25,23028.66
02/21/2022,38397.25,39495.33,36862.52,37037.39,47549.32
02/22/2022,37037.39,38458.26,36371.68,38267.75,42886.39
02/23/2022,38267.75,39260.51,37083.83,37270.85,31850.78
02/24/2022,37270.85,39182.44,34349.58,38353.62,93348.71
02/25/2022,38353.62,39710.26,38043.51,39239.77,39454.29
02/26/2022,39239.77,40228.13,38605.65,39134.83,18649.99
02/27/2022,39134.83,39861.91,37039.71,37714.96,30834.07
02/28/2022,37714.96,43953.92,37473.3,43189.46,55323.43
03/01/2022,43189.46,44883.1,42893.5,44428.47,48462.11
03/02/2022,44428.47,45069.78,43387.92,43935.37,37389.51
03/03/2022,43935.37,44079.17,41852.46,42474.37,36512.65
03/04/2022,42474.37,42520.95,38621.24,39154.4,50126.39
03/05/2022,39154.4,39596.42,38652.98,39407.02,15938.79
03/06/2022,39407.02,39686.74,38133.84,38428.92,21034.62
03/07/2022,38428.92,39536.14,37191.99,38030.63,40474.56
03/08/2022,38030.63,39361.33,37905.43,38748.52,35521.85
03/09/2022,38748.52,42557.95,38685.96,41962.85,47211.82
03/10/2022,41962.85,42043.56,38853.45,39443.42,42472.49
03/11/2022,39443.42,40221.93,38261.24,38741.03,39197.4
03/12/2022,38741.03,39414.02,38696.52,38805.53,11886.69
03/13/2022,38805.53,39254.88,37633.11,37796.31,17796.13
03/14/2022,37796.31,39802.89,37566.52,39696.28,32100.73
03/15/2022,39696.28,39863.78,38259.88,39314.86,30642.09
03/16/2022,39314.86,41638.54,38933.24,41133.64,54967.36
03/17/2022,41133.64,41441.08,40581.36,40956.79,18001.83
